Size(MB),“Laptop X 1”,“Rpi X 1”,“Edison X 1”,“Rpi X 2”,“Edison X 2”
0.040788,0.1433958054,1.058565855,6.9451611042,0.6054497957,3.5857411623
0.071234,0.3235726357,2.9362580776,18.4458889961,1.5861955881,9.4502905607
0.098147,0.4607204914,4.5895228386,27.6575391293,2.453638792,14.1894335747
0.137829,0.7536189556,10.1824040413,49.1335909367,5.348772049,25.1715048552
0.268119,1.6861963749,21.6562700272,111.846917868,11.4510455132,57.426134825
0.463085,3.4504077911,47.2123589516,226.977890015,24.8534464837,116.22575295
0.655807,5.5075129986,78.8220090866,359.12894392,41.3942955733,184.106270909
0.830454,7.9748912334,102.08447504,491.807271957,53.5773510929,251.906087875
0.989454,10.2293237209,128.125757933,612.732882023,67.2866948845,313.603755474
1.18977,13.8408981323,232.809778929,790.336431026,120.420520425,404.670199513
1.371783,16.4781190395,197.334326029,925.507874966,103.3983955385,473.938696981
1.455017,25.5193820477,301.993145943,1377.46804214,158.320095897,705.655724175
