Faces,'Laptop X 1','Rpi X 1','Edison X 1','Rpi X 2','Edison X 2'
1,0.3358800411,25.198032856,22.9718821049,8.7373099327,8.7028722763
4,0.3678228855,23.2618620396,21.8354918957,21.5897510052,21.1676189899
16,0.445223093,23.3216710091,21.7180969715,21.6738340855,20.9266560078
64,0.5886919498,26.9964740276,22.692896843,24.1507310867,21.5462281704
256,0.7446889877,31.8108758926,24.76501894,26.4955060482,22.3888547421
