Faces,'Laptop X 1','Rpi X 1','Rpi Docker X 1','Rpi X 2','Rpi Docker X 2','Rpi Kube X 1'
1,0.1258540154,11.4249808788,11.5849781036,5.6139349937,5.4407272339,10.9836339951
4,0.1174788475,10.6315820217,10.591094017,4.9230759144,5.0776388645,10.1304581165
16,0.1273319721,11.142663002,10.9496250153,5.3467168808,5.1150407791,10.4633700848
64,0.2123951912,16.8699040413,16.3011648655,7.5637860298,7.5356957912,14.5043478012
256,0.432185173,26.7759361267,26.0777728558,11.5426371098,11.4633870125,25.1202728748
