Size(MB) "Laptop X 1" "Rpi X 1" "Edison X 1"
0.040788 0.0220301151 0.8982741833 0.8895921707
0.071234 0.0466006756 2.5575211048 2.4203867912
0.098147 0.0721266747 4.3926479816 4.0485439301
0.137829 0.1294342518 9.6416378021 8.2005209923
0.268119 0.3128320217 20.4923629761 19.4269120693
0.463085 0.6701348305 43.9725461006 41.4265871048
0.655807 1.0714478016 72.5175170898 67.8239629269
0.830454 1.4883347988 96.8339099884 89.8174021244
0.989454 1.9015843868 120.862356901 113.889931917
1.18977 2.9703383446 234.403764009 167.046923161
1.371783 3.0208834171 187.665293932 173.755250931
1.455017 4.7659363747 287.246707916 264.438485861
