Size(MB) "Laptop X 1" "Rpi X 1" "Edison X 1"
0.040788 0.0653086662 0.9170219898 2.8166749477
0.071234 0.144189024 2.5531909466 7.8284850121
0.098147 0.2100429535 4.2648260593 12.0920031071
0.137829 0.3532380104 9.9261109829 21.8036470413
0.268119 0.818124342 20.709444046 50.9368178844
0.463085 1.6657274246 44.1310348511 104.745560169
0.655807 2.6164572239 74.6676499844 166.127028942
0.830454 3.5993163586 96.9558031559 225.358217955
0.989454 4.5777788162 122.400918961 281.239823103
1.18977 6.3359193802 230.907550097 374.447494984
1.371783 7.2623301506 189.548368931 424.049784899
1.455017 11.2570029259 283.685036182 628.63785696
